user_id,arm,converted,payment_error
c000000,control,1,0
c000001,control,1,0
c000002,control,1,0
c000003,control,1,0
c000004,control,1,0
c000005,control,1,0
c000006,control,1,0
c000007,control,0,0
c000008,control,0,0
c000009,control,1,0
c000010,control,0,0
c000011,control,1,0
c000012,control,1,0
c000013,control,1,0
c000014,control,1,0
c000015,control,0,0
c000016,control,0,0
c000017,control,1,0
c000018,control,1,0
c000019,control,1,0
c000020,control,1,0
c000021,control,1,0
c000022,control,1,0
c000023,control,1,0
c000024,control,0,0
c000025,control,1,0
c000026,control,1,0
c000027,control,1,0
c000028,control,0,0
c000029,control,1,0
c000030,control,1,0
c000031,control,1,0
c000032,control,1,0
c000033,control,1,0
c000034,control,0,0
c000035,control,0,0
c000036,control,0,0
c000037,control,1,0
c000038,control,0,0
c000039,control,1,0
c000040,control,1,0
c000041,control,1,0
c000042,control,0,0
c000043,control,1,0
c000044,control,1,0
c000045,control,0,0
c000046,control,0,0
c000047,control,1,0
c000048,control,0,1
c000049,control,1,0
c000050,control,1,0
c000051,control,1,0
c000052,control,1,0
c000053,control,1,0
c000054,control,1,0
c000055,control,1,0
c000056,control,1,0
c000057,control,0,0
c000058,control,1,0
c000059,control,1,0
c000060,control,1,0
c000061,control,1,0
c000062,control,0,0
c000063,control,0,0
c000064,control,1,0
c000065,control,1,0
c000066,control,1,0
c000067,control,1,0
c000068,control,1,0
c000069,control,1,0
c000070,control,1,0
c000071,control,1,0
c000072,control,1,0
c000073,control,1,0
c000074,control,0,0
c000075,control,1,0
c000076,control,1,0
c000077,control,1,0
c000078,control,0,0
c000079,control,1,0
c000080,control,1,0
c000081,control,1,0
c000082,control,0,0
c000083,control,1,0
c000084,control,0,0
c000085,control,1,0
c000086,control,1,0
c000087,control,1,0
c000088,control,1,0
c000089,control,0,0
c000090,control,1,0
c000091,control,0,0
c000092,control,1,0
c000093,control,1,0
c000094,control,0,0
c000095,control,0,0
c000096,control,1,0
c000097,control,0,0
c000098,control,0,0
c000099,control,0,0
c000100,control,1,0
c000101,control,0,0
c000102,control,1,0
c000103,control,1,0
c000104,control,1,0
c000105,control,1,0
c000106,control,1,0
c000107,control,1,0
c000108,control,1,0
c000109,control,1,0
c000110,control,1,0
c000111,control,0,0
c000112,control,1,0
c000113,control,1,0
c000114,control,0,0
c000115,control,0,0
c000116,control,1,0
c000117,control,0,0
c000118,control,1,0
c000119,control,0,0
c000120,control,1,0
c000121,control,1,1
c000122,control,1,0
c000123,control,0,0
c000124,control,1,0
c000125,control,1,0
c000126,control,0,0
c000127,control,1,0
c000128,control,1,0
c000129,control,0,0
c000130,control,1,0
c000131,control,1,0
c000132,control,1,0
c000133,control,1,0
c000134,control,0,0
c000135,control,0,0
c000136,control,0,0
c000137,control,1,0
c000138,control,1,0
c000139,control,1,0
c000140,control,1,0
c000141,control,0,0
c000142,control,1,0
c000143,control,0,0
c000144,control,1,0
c000145,control,0,1
c000146,control,0,0
c000147,control,0,0
c000148,control,0,0
c000149,control,0,0
c000150,control,1,0
c000151,control,1,0
c000152,control,1,0
c000153,control,1,0
c000154,control,1,0
c000155,control,1,0
c000156,control,1,0
c000157,control,1,0
c000158,control,0,0
c000159,control,0,0
c000160,control,0,0
c000161,control,1,0
c000162,control,0,0
c000163,control,0,0
c000164,control,1,0
c000165,control,0,0
c000166,control,1,0
c000167,control,0,0
c000168,control,1,0
c000169,control,1,1
c000170,control,1,0
c000171,control,0,0
c000172,control,1,0
c000173,control,0,0
c000174,control,1,0
c000175,control,1,0
c000176,control,0,0
c000177,control,1,0
c000178,control,0,0
c000179,control,1,0
c000180,control,1,0
c000181,control,1,0
c000182,control,0,0
c000183,control,1,0
c000184,control,0,0
c000185,control,1,0
c000186,control,1,0
c000187,control,0,0
c000188,control,0,0
c000189,control,1,0
c000190,control,1,0
c000191,control,1,0
c000192,control,0,0
c000193,control,1,0
c000194,control,0,0
c000195,control,1,0
c000196,control,0,0
c000197,control,1,0
c000198,control,0,0
c000199,control,0,0
c000200,control,0,0
c000201,control,0,1
c000202,control,1,0
c000203,control,1,0
c000204,control,1,0
c000205,control,0,0
c000206,control,0,0
c000207,control,1,0
c000208,control,1,0
c000209,control,1,0
c000210,control,0,0
c000211,control,0,0
c000212,control,0,0
c000213,control,1,0
c000214,control,0,0
c000215,control,1,0
c000216,control,0,0
c000217,control,1,0
c000218,control,0,0
c000219,control,0,0
c000220,control,1,0
c000221,control,1,0
c000222,control,0,0
c000223,control,1,0
c000224,control,1,0
c000225,control,0,0
c000226,control,1,0
c000227,control,1,0
c000228,control,0,0
c000229,control,1,0
c000230,control,1,0
c000231,control,0,0
c000232,control,0,0
